User identifier,Product A,Product B
2176,Subscribed,Subscribed
2179,Not subscribed,Subscribed
2181,Subscribed,Not subscribed
2184,Not subscribed,Subscribed
2187,Subscribed,Subscribed
2189,Not subscribed,Subscribed
2192,Subscribed,Subscribed
2195,Not subscribed,Subscribed
2197,Not subscribed,Not subscribed
2200,Subscribed,Subscribed
2203,Subscribed,Not subscribed
2205,Subscribed,Not subscribed
2208,Not subscribed,Subscribed
2211,Not subscribed,Subscribed
2213,Not subscribed,Subscribed
2221,Not subscribed,Not subscribed
2224,Not subscribed,Subscribed
2226,Not subscribed,Subscribed
2229,Not subscribed,Subscribed
2232,Not subscribed,Subscribed
2234,Subscribed,Subscribed
2237,Not subscribed,Subscribed
2240,Not subscribed,Not subscribed
2242,Not subscribed,Subscribed
2245,Subscribed,Not subscribed
2248,Not subscribed,Not subscribed
2250,Subscribed,Subscribed
2253,Not subscribed,Not subscribed
2256,Not subscribed,Not subscribed
2258,Subscribed,Subscribed
2261,Not subscribed,Not subscribed
2263,Not subscribed,Subscribed
2266,Subscribed,Not subscribed
2269,Not subscribed,Subscribed
2271,Not subscribed,Subscribed
2274,Not subscribed,Not subscribed
2277,Not subscribed,Not subscribed
2279,Not subscribed,Subscribed
2282,Not subscribed,Not subscribed
2285,Not subscribed,Subscribed
2287,Not subscribed,Not subscribed
2290,Not subscribed,Subscribed
2293,Not subscribed,Subscribed
2295,Not subscribed,Not subscribed
2298,Not subscribed,Subscribed
2303,Not subscribed,Subscribed
2306,Subscribed,Not subscribed
2308,Not subscribed,Subscribed
2311,Subscribed,Not subscribed
2314,Not subscribed,Not subscribed
2316,Not subscribed,Subscribed
2319,Not subscribed,Not subscribed
2322,Not subscribed,Subscribed
2324,Not subscribed,Subscribed
2327,Subscribed,Subscribed
2330,Not subscribed,Subscribed
2332,Not subscribed,Subscribed
2335,Not subscribed,Not subscribed
2338,Subscribed,Not subscribed
2340,Subscribed,Subscribed
2343,Not subscribed,Subscribed
2345,Subscribed,Subscribed
2348,Not subscribed,Not subscribed
2351,Subscribed,Subscribed
2353,Not subscribed,Not subscribed
2356,Not subscribed,Subscribed
2359,Not subscribed,Subscribed
2361,Not subscribed,Not subscribed
2364,Not subscribed,Subscribed
2367,Not subscribed,Not subscribed
2369,Not subscribed,Subscribed
2372,Not subscribed,Subscribed
2375,Subscribed,Not subscribed
2377,Not subscribed,Subscribed
2380,Not subscribed,Subscribed
2383,Not subscribed,Subscribed
2385,Subscribed,Subscribed
2388,Not subscribed,Not subscribed
2390,Not subscribed,Not subscribed
2393,Subscribed,Subscribed
2396,Not subscribed,Not subscribed
2398,Not subscribed,Not subscribed
2401,Not subscribed,Subscribed
2404,Not subscribed,Not subscribed
2406,Subscribed,Subscribed
2409,Not subscribed,Subscribed
2412,Subscribed,Subscribed
2414,Not subscribed,Subscribed
2417,Subscribed,Subscribed
2420,Not subscribed,Not subscribed
2422,Not subscribed,Not subscribed
2425,Not subscribed,Subscribed
2427,Not subscribed,Subscribed
2430,Not subscribed,Subscribed
2433,Subscribed,Subscribed
2435,Not subscribed,Subscribed
2438,Not subscribed,Not subscribed
2441,Not subscribed,Not subscribed
2443,Subscribed,Subscribed
2446,Subscribed,Not subscribed
2449,Subscribed,Subscribed
2451,Not subscribed,Subscribed
2454,Subscribed,Not subscribed
2457,Not subscribed,Subscribed
2459,Not subscribed,Subscribed
2465,Subscribed,Subscribed
2467,Not subscribed,Subscribed
2470,Not subscribed,Not subscribed
2472,Not subscribed,Not subscribed
2475,Not subscribed,Not subscribed
2478,Not subscribed,Not subscribed
2480,Not subscribed,Subscribed
2483,Not subscribed,Not subscribed
2486,Subscribed,Subscribed
2488,Not subscribed,Subscribed
2491,Not subscribed,Subscribed
2494,Not subscribed,Subscribed
2496,Not subscribed,Subscribed
2499,Not subscribed,Subscribed
2502,Not subscribed,Not subscribed
2504,Not subscribed,Subscribed
2507,Not subscribed,Subscribed
2509,Subscribed,Subscribed
2512,Not subscribed,Not subscribed
2515,Not subscribed,Subscribed
2517,Not subscribed,Subscribed
2520,Not subscribed,Subscribed
2523,Subscribed,Subscribed
2525,Not subscribed,Subscribed
2528,Not subscribed,Subscribed
2531,Subscribed,Not subscribed
2533,Not subscribed,Subscribed
2536,Not subscribed,Subscribed
2539,Not subscribed,Not subscribed
2541,Not subscribed,Subscribed
2544,Not subscribed,Not subscribed
2547,Not subscribed,Subscribed
2549,Not subscribed,Not subscribed
2552,Not subscribed,Subscribed
2554,Not subscribed,Not subscribed
2557,Not subscribed,Not subscribed
2560,Subscribed,Subscribed
2562,Not subscribed,Not subscribed
2565,Not subscribed,Not subscribed
2568,Not subscribed,Subscribed
2570,Subscribed,Subscribed
2573,Not subscribed,Subscribed
2576,Subscribed,Subscribed
2578,Not subscribed,Not subscribed
2581,Subscribed,Subscribed
2584,Not subscribed,Subscribed
2586,Subscribed,Subscribed
2589,Not subscribed,Subscribed
2591,Subscribed,Not subscribed
2594,Subscribed,Not subscribed
2597,Subscribed,Not subscribed
2599,Not subscribed,Not subscribed
2602,Not subscribed,Not subscribed
2605,Subscribed,Subscribed
2607,Subscribed,Not subscribed
2610,Not subscribed,Subscribed
2613,Not subscribed,Subscribed
2615,Not subscribed,Subscribed
2618,Not subscribed,Subscribed
2621,Not subscribed,Not subscribed
2623,Subscribed,Subscribed
2626,Subscribed,Subscribed
2628,Not subscribed,Not subscribed
2631,Not subscribed,Not subscribed
2634,Not subscribed,Subscribed
2636,Subscribed,Subscribed
2639,Not subscribed,Subscribed
2642,Not subscribed,Subscribed
2644,Subscribed,Subscribed
2647,Not subscribed,Subscribed
2650,Subscribed,Subscribed
2652,Subscribed,Not subscribed
2655,Subscribed,Subscribed
2658,Subscribed,Not subscribed
2660,Not subscribed,Subscribed
2663,Not subscribed,Subscribed
2666,Not subscribed,Subscribed
2668,Subscribed,Not subscribed
2671,Subscribed,Not subscribed
2673,Not subscribed,Not subscribed
2676,Not subscribed,Subscribed
2679,Not subscribed,Subscribed
2681,Not subscribed,Not subscribed
2684,Not subscribed,Subscribed
2687,Subscribed,Not subscribed
2689,Not subscribed,Not subscribed
2692,Not subscribed,Subscribed
2695,Not subscribed,Subscribed
2697,Subscribed,Subscribed
2700,Not subscribed,Not subscribed
2708,Not subscribed,Not subscribed
2710,Not subscribed,Not subscribed
2713,Not subscribed,Subscribed
2716,Not subscribed,Subscribed
2718,Not subscribed,Subscribed
2721,Not subscribed,Subscribed
2724,Not subscribed,Subscribed
2726,Subscribed,Subscribed
2729,Subscribed,Not subscribed
2732,Not subscribed,Not subscribed
2734,Subscribed,Not subscribed
2737,Not subscribed,Subscribed
2740,Not subscribed,Not subscribed
2742,Not subscribed,Subscribed
2745,Not subscribed,Not subscribed
2748,Subscribed,Not subscribed
2750,Not subscribed,Subscribed
2753,Subscribed,Subscribed
2755,Not subscribed,Not subscribed
2758,Not subscribed,Subscribed
2761,Subscribed,Not subscribed
2763,Not subscribed,Not subscribed
2766,Subscribed,Not subscribed
2769,Not subscribed,Not subscribed
2771,Subscribed,Subscribed
2774,Not subscribed,Not subscribed
2777,Subscribed,Subscribed
2779,Not subscribed,Subscribed
2782,Not subscribed,Not subscribed
2785,Not subscribed,Subscribed
2787,Subscribed,Not subscribed
2790,Not subscribed,Subscribed
2792,Subscribed,Subscribed
2795,Subscribed,Not subscribed
2798,Not subscribed,Subscribed
2800,Not subscribed,Subscribed
2803,Not subscribed,Subscribed
2806,Not subscribed,Not subscribed
2808,Subscribed,Not subscribed
2811,Not subscribed,Not subscribed
2814,Not subscribed,Subscribed
2816,Subscribed,Not subscribed
2819,Not subscribed,Subscribed
2822,Not subscribed,Not subscribed
2824,Not subscribed,Subscribed
2827,Not subscribed,Subscribed
2830,Subscribed,Not subscribed
2832,Not subscribed,Subscribed
2835,Not subscribed,Subscribed
2837,Not subscribed,Not subscribed
2840,Not subscribed,Subscribed
2843,Not subscribed,Subscribed
2845,Not subscribed,Subscribed
2848,Not subscribed,Subscribed
2851,Not subscribed,Not subscribed
2853,Not subscribed,Not subscribed
2856,Not subscribed,Not subscribed
2859,Not subscribed,Not subscribed
2861,Subscribed,Not subscribed
2864,Not subscribed,Not subscribed
2867,Not subscribed,Subscribed
2869,Not subscribed,Not subscribed
2872,Not subscribed,Not subscribed
2874,Not subscribed,Subscribed
2877,Not subscribed,Subscribed
2880,Not subscribed,Subscribed
2882,Subscribed,Not subscribed
2885,Not subscribed,Not subscribed
2888,Subscribed,Not subscribed
2890,Not subscribed,Subscribed
2893,Not subscribed,Not subscribed
2896,Not subscribed,Subscribed
2898,Not subscribed,Subscribed
2901,Not subscribed,Not subscribed
2904,Not subscribed,Subscribed
2906,Not subscribed,Not subscribed
2909,Subscribed,Subscribed
2912,Not subscribed,Not subscribed
2914,Not subscribed,Subscribed
2917,Subscribed,Subscribed
2919,Subscribed,Not subscribed
2922,Not subscribed,Not subscribed
2925,Subscribed,Subscribed
2927,Not subscribed,Not subscribed
2930,Not subscribed,Not subscribed
2933,Not subscribed,Subscribed
2935,Not subscribed,Not subscribed
2938,Not subscribed,Subscribed
2941,Not subscribed,Subscribed
2943,Subscribed,Not subscribed
2949,Not subscribed,Subscribed
2951,Subscribed,Not subscribed
2954,Subscribed,Subscribed
2956,Subscribed,Not subscribed
2959,Not subscribed,Not subscribed
2962,Not subscribed,Not subscribed
2964,Subscribed,Not subscribed
2967,Not subscribed,Not subscribed
2970,Not subscribed,Subscribed
2972,Not subscribed,Not subscribed
2975,Not subscribed,Not subscribed
2978,Not subscribed,Subscribed
2980,Subscribed,Not subscribed
2983,Not subscribed,Subscribed
2986,Not subscribed,Subscribed
2988,Not subscribed,Subscribed
2991,Subscribed,Subscribed
2994,Subscribed,Not subscribed
2996,Not subscribed,Subscribed
2999,Not subscribed,Subscribed
3001,Subscribed,Not subscribed
3004,Not subscribed,Not subscribed
3007,Not subscribed,Subscribed
3009,Not subscribed,Subscribed
3012,Subscribed,Subscribed
3015,Subscribed,Subscribed
3017,Subscribed,Not subscribed
3020,Not subscribed,Subscribed
3023,Subscribed,Subscribed
3025,Not subscribed,Subscribed
3028,Subscribed,Not subscribed
3031,Subscribed,Subscribed
3033,Not subscribed,Not subscribed
3036,Not subscribed,Subscribed
3038,Not subscribed,Subscribed
3041,Not subscribed,Subscribed
3044,Not subscribed,Not subscribed
3046,Not subscribed,Subscribed
3049,Not subscribed,Subscribed
3052,Subscribed,Subscribed
3054,Subscribed,Subscribed
3057,Not subscribed,Subscribed
3060,Not subscribed,Subscribed
3062,Not subscribed,Subscribed
3065,Not subscribed,Not subscribed
3068,Not subscribed,Subscribed
3070,Not subscribed,Subscribed
3073,Not subscribed,Not subscribed
3076,Subscribed,Subscribed
3078,Not subscribed,Not subscribed
3081,Not subscribed,Subscribed
3083,Not subscribed,Subscribed
3086,Not subscribed,Subscribed
3089,Not subscribed,Subscribed
3091,Not subscribed,Subscribed
3094,Subscribed,Not subscribed
3097,Not subscribed,Not subscribed
3099,Not subscribed,Subscribed
3102,Not subscribed,Not subscribed
3105,Not subscribed,Subscribed
3110,Subscribed,Not subscribed
3113,Not subscribed,Subscribed
3115,Not subscribed,Not subscribed
3118,Subscribed,Subscribed
3120,Not subscribed,Not subscribed
3123,Not subscribed,Subscribed
3126,Subscribed,Not subscribed
3128,Not subscribed,Subscribed
3131,Subscribed,Subscribed
3134,Not subscribed,Subscribed
3136,Not subscribed,Subscribed
3139,Not subscribed,Not subscribed
3142,Not subscribed,Not subscribed
3144,Not subscribed,Subscribed
3147,Subscribed,Not subscribed
3150,Not subscribed,Not subscribed
3152,Not subscribed,Subscribed
3155,Subscribed,Not subscribed
3157,Not subscribed,Not subscribed
3160,Not subscribed,Subscribed
3163,Not subscribed,Not subscribed
3165,Not subscribed,Subscribed
3168,Subscribed,Not subscribed
3171,Not subscribed,Subscribed
3173,Not subscribed,Subscribed
3176,Not subscribed,Subscribed
3179,Subscribed,Not subscribed
3181,Not subscribed,Subscribed
3184,Not subscribed,Not subscribed
3189,Subscribed,Not subscribed
3192,Not subscribed,Not subscribed
3197,Not subscribed,Not subscribed
3200,Subscribed,Subscribed
3205,Not subscribed,Not subscribed
3208,Not subscribed,Not subscribed
3210,Not subscribed,Subscribed
3213,Not subscribed,Subscribed
3216,Not subscribed,Not subscribed
3221,Subscribed,Not subscribed
3224,Subscribed,Not subscribed
3226,Not subscribed,Not subscribed
3229,Not subscribed,Subscribed
3232,Subscribed,Subscribed
3234,Not subscribed,Subscribed
3237,Not subscribed,Not subscribed
3239,Not subscribed,Not subscribed
3242,Not subscribed,Not subscribed
3245,Not subscribed,Subscribed
3247,Not subscribed,Not subscribed
3250,Not subscribed,Not subscribed
3253,Subscribed,Subscribed
3255,Not subscribed,Subscribed
3258,Not subscribed,Subscribed
3261,Not subscribed,Subscribed
3263,Not subscribed,Not subscribed
3266,Not subscribed,Not subscribed
3269,Subscribed,Subscribed
3271,Not subscribed,Subscribed
3274,Not subscribed,Not subscribed
3277,Not subscribed,Not subscribed
3279,Subscribed,Subscribed
3282,Not subscribed,Not subscribed
3284,Not subscribed,Not subscribed
3287,Not subscribed,Subscribed
3290,Not subscribed,Subscribed
3292,Not subscribed,Not subscribed
3295,Not subscribed,Not subscribed
3298,Subscribed,Subscribed
3300,Not subscribed,Not subscribed
3303,Not subscribed,Subscribed
3306,Not subscribed,Not subscribed
3308,Not subscribed,Subscribed
3311,Not subscribed,Not subscribed
3314,Subscribed,Not subscribed
3316,Not subscribed,Not subscribed
3319,Not subscribed,Subscribed
3321,Not subscribed,Not subscribed
3324,Subscribed,Not subscribed
3327,Not subscribed,Not subscribed
3329,Not subscribed,Not subscribed
3332,Not subscribed,Subscribed
3335,Not subscribed,Subscribed
3337,Not subscribed,Not subscribed
3340,Subscribed,Subscribed
3343,Not subscribed,Subscribed
3345,Not subscribed,Subscribed
3348,Subscribed,Not subscribed
3351,Not subscribed,Not subscribed
3353,Not subscribed,Not subscribed
3356,Not subscribed,Subscribed
3359,Subscribed,Not subscribed
3361,Subscribed,Not subscribed
3364,Subscribed,Subscribed
3366,Not subscribed,Subscribed
3369,Not subscribed,Subscribed
3372,Not subscribed,Not subscribed
3374,Subscribed,Subscribed
3377,Subscribed,Subscribed
3382,Not subscribed,Not subscribed
3385,Not subscribed,Subscribed
3388,Subscribed,Not subscribed
3390,Not subscribed,Subscribed
3393,Subscribed,Not subscribed
3396,Not subscribed,Not subscribed
3398,Not subscribed,Subscribed
3401,Subscribed,Not subscribed
3403,Subscribed,Not subscribed
3406,Subscribed,Not subscribed
3409,Not subscribed,Subscribed
3411,Not subscribed,Subscribed
3414,Subscribed,Not subscribed
3417,Subscribed,Not subscribed
3419,Not subscribed,Not subscribed
3422,Not subscribed,Subscribed
3425,Not subscribed,Subscribed
3427,Not subscribed,Subscribed
3430,Subscribed,Not subscribed
3433,Not subscribed,Subscribed
3435,Not subscribed,Not subscribed
3438,Subscribed,Not subscribed
3441,Not subscribed,Subscribed
3443,Not subscribed,Subscribed
3446,Subscribed,Subscribed
3448,Subscribed,Not subscribed
3451,Not subscribed,Not subscribed
3454,Not subscribed,Subscribed
3456,Not subscribed,Not subscribed
3459,Not subscribed,Not subscribed
3462,Subscribed,Not subscribed
3464,Not subscribed,Not subscribed
3467,Not subscribed,Not subscribed
3470,Not subscribed,Subscribed
3472,Not subscribed,Subscribed
3475,Not subscribed,Not subscribed
3478,Subscribed,Subscribed
3480,Not subscribed,Subscribed
3483,Not subscribed,Subscribed
3485,Not subscribed,Not subscribed
3488,Not subscribed,Not subscribed
3491,Not subscribed,Subscribed
3493,Not subscribed,Not subscribed
3496,Not subscribed,Not subscribed
3499,Subscribed,Subscribed
3501,Not subscribed,Subscribed
3504,Subscribed,Subscribed
3507,Not subscribed,Subscribed
3509,Not subscribed,Not subscribed
3512,Subscribed,Subscribed
3515,Subscribed,Subscribed
3517,Not subscribed,Subscribed
3520,Not subscribed,Not subscribed
3523,Not subscribed,Not subscribed
3525,Subscribed,Subscribed
3528,Not subscribed,Subscribed
3530,Not subscribed,Subscribed
3533,Subscribed,Not subscribed
3536,Subscribed,Subscribed
3538,Not subscribed,Not subscribed
3541,Not subscribed,Subscribed
3546,Not subscribed,Subscribed
3549,Not subscribed,Not subscribed
3552,Subscribed,Not subscribed
3554,Not subscribed,Subscribed
3557,Not subscribed,Not subscribed
3560,Not subscribed,Not subscribed
3562,Not subscribed,Subscribed
3565,Subscribed,Subscribed
3567,Not subscribed,Subscribed
3570,Not subscribed,Not subscribed
3573,Subscribed,Not subscribed
3575,Subscribed,Not subscribed
3578,Subscribed,Not subscribed
3581,Subscribed,Subscribed
3583,Not subscribed,Subscribed
3586,Not subscribed,Subscribed
3589,Not subscribed,Subscribed
3591,Not subscribed,Subscribed
3594,Not subscribed,Subscribed
3597,Not subscribed,Not subscribed
3599,Subscribed,Subscribed
3602,Not subscribed,Not subscribed
3605,Not subscribed,Subscribed
3607,Not subscribed,Not subscribed
3610,Not subscribed,Subscribed
3612,Subscribed,Subscribed
3615,Not subscribed,Not subscribed
3618,Not subscribed,Not subscribed
3620,Not subscribed,Subscribed
3623,Not subscribed,Not subscribed
3626,Not subscribed,Subscribed
3628,Subscribed,Subscribed
3631,Not subscribed,Not subscribed
3634,Subscribed,Not subscribed
3636,Subscribed,Subscribed
3639,Not subscribed,Not subscribed
3642,Not subscribed,Subscribed
3644,Not subscribed,Subscribed
3647,Not subscribed,Not subscribed
3649,Not subscribed,Subscribed
3652,Not subscribed,Not subscribed
