Identifier,Status,Age,Data usage (bytes),Voice (secs),SMS,Data roaming (bytes),Total bill
1503,Active,43,5368709120,16739,37,102088353,53
1507,Active,45,1073741824,21391,50,52208204,27
1511,Active,45,6442450944,13747,28,118961043,22
1515,Inactive,45,2147483648,2062,74,27582140,28
1520,Active,21,21474836480,129,34,106546945,56
1524,Inactive,21,25769803776,188,10,114405976,34
1528,Active,50,5368709120,7893,68,132305411,45
1532,Active,49,6442450944,14911,60,35295316,56
1536,Active,51,6442450944,6676,71,55899611,41
1541,Active,29,15032385536,42,33,26313285,83
1545,Active,35,9663676416,8601,47,153168216,11
1549,Active,49,7516192768,25307,17,61760281,93
1553,Inactive,19,17179869184,90,27,39334005,37
1557,Active,49,7516192768,2307,53,91763761,75
1562,Active,40,3221225472,4498,30,63445526,84
1566,Active,34,9663676416,16430,148,23986958,59
1570,Inactive,51,5368709120,2639,147,147911903,42
1574,Active,26,6442450944,6,17,28965,44
1578,Active,34,16106127360,24908,7,93812793,86
1583,Active,26,5368709120,187,39,140652154,64
1587,Active,27,26843545600,31,41,147485804,89
1591,Active,39,1073741824,693,65,39403678,62
1595,Active,27,18253611008,189,35,47771273,49
1599,Active,30,6442450944,57,28,116732248,92
1604,Inactive,18,5368709120,58,35,40359188,67
1608,Inactive,27,7516192768,167,38,150198856,16
1612,Active,34,12884901888,2662,86,20645087,76
1616,Active,47,4294967296,22025,117,126686835,30
1620,Active,41,4294967296,20634,124,140664164,90
1625,Active,43,2147483648,26194,64,68281141,50
1629,Active,43,2147483648,9727,103,76048265,20
1633,Inactive,48,6442450944,12619,137,65858308,58
1637,Active,45,5368709120,11512,77,150817267,45
1641,Inactive,37,6442450944,17136,114,92052709,47
1646,Active,21,18253611008,139,29,157256135,77
1650,Active,29,26843545600,51,0,82372920,95
1654,Active,48,3221225472,24139,41,72239782,76
1658,Active,38,5368709120,7905,104,91970910,91
1662,Active,48,3221225472,26314,124,99691492,67
1667,Active,34,13958643712,25981,113,48193255,64
1671,Active,40,7516192768,20097,120,28625680,84
1675,Active,24,26843545600,65,7,13867047,51
1679,Inactive,30,5368709120,167,15,1583083,11
1683,Active,39,1073741824,14492,43,7088234,10
1688,Active,39,2147483648,4944,102,118177021,93
1692,Active,33,5368709120,23344,120,20422088,81
1696,Active,31,7516192768,2529,52,111479396,54
1700,Active,49,4294967296,18093,54,136983317,71
1704,Active,24,19327352832,2,43,23661578,17
1709,Inactive,19,11811160064,53,2,87581236,30
1713,Active,33,4294967296,12939,37,105268079,85
1717,Active,20,26843545600,53,1,27393563,10
1721,Active,44,7516192768,1133,71,149906688,90
1725,Active,22,15032385536,117,24,146273896,54
1730,Active,38,3221225472,4606,48,1475592,14
1734,Active,44,7516192768,6258,90,48442386,39
1738,Active,38,2147483648,3182,117,150503263,74
1742,Active,25,20401094656,25,28,144043825,25
1746,Inactive,45,4294967296,14050,119,81022875,59
1751,Active,50,4294967296,6943,7,68882789,68
1755,Active,51,1073741824,7765,65,94506275,86
1759,Active,21,23622320128,52,37,119816464,89
1763,Active,46,6442450944,6593,49,144377399,17
1767,Active,43,5368709120,7750,82,65613,28
1772,Inactive,35,5368709120,23799,58,86981763,77
1776,Active,42,4294967296,3167,104,46423152,25
1780,Active,50,4294967296,23810,22,116533325,37
1784,Active,21,9663676416,22,2,90514015,51
1788,Active,25,11811160064,36,7,96747026,33
1793,Active,36,3221225472,8947,76,130280019,55
1797,Active,23,5368709120,123,26,124143134,38
1801,Inactive,20,19327352832,62,29,79960632,20
1805,Inactive,45,4294967296,19698,33,111362910,79
1809,Active,27,18253611008,195,28,127000628,63
1814,Active,39,3221225472,265,96,28995982,54
1818,Active,50,1073741824,23140,3,141973147,29
1822,Inactive,36,4294967296,6232,149,64383675,57
1826,Active,20,22548578304,72,34,88818527,10
1830,Inactive,43,6442450944,4950,3,113897487,52
1835,Inactive,46,6442450944,18157,3,36826231,74
